method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
NoCompression,synthetic_g1,syn-0,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.32460757327287093,0.001712999960545858
Random,synthetic_g1,syn-0,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.0817900000811278
TopKImportance,synthetic_g1,syn-0,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02569200000834826
BM25,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6102629999986675
DenseTopK,synthetic_g1,syn-0,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.20756399999299902
SelectiveContext,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4891529999895283
LLMLingua,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.9273470000152884
FCNP,synthetic_g1,syn-0,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,21.62862699992729
NoCompression,synthetic_g1,syn-1,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.303170738255395,0.0018780000345941517
Random,synthetic_g1,syn-1,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03096800003277167
TopKImportance,synthetic_g1,syn-1,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.017225000078724406
BM25,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5190780000248196
DenseTopK,synthetic_g1,syn-1,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6843515475204855,0.19083699999100645
SelectiveContext,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4784479999671021
LLMLingua,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4853219999176872
FCNP,synthetic_g1,syn-1,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6843515475204855,18.16502799999853
NoCompression,synthetic_g1,syn-2,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.28384315856527903,0.005837999992763798
Random,synthetic_g1,syn-2,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.09457299995574431
TopKImportance,synthetic_g1,syn-2,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.054263999913928274
BM25,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6306390000645479
DenseTopK,synthetic_g1,syn-2,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,0.27308699998229713
SelectiveContext,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5068269999810582
LLMLingua,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.36055699990811263
FCNP,synthetic_g1,syn-2,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,21.593161999931
NoCompression,synthetic_g1,syn-3,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.40262458546999913,0.001406000023962406
Random,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03705500000705797
TopKImportance,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02083599997604324
BM25,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6123660000412201
DenseTopK,synthetic_g1,syn-3,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.8687949224876582,0.18063799996070884
SelectiveContext,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.49286399996617547
LLMLingua,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,1.4056649999929505
FCNP,synthetic_g1,syn-3,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.8687949224876582,17.39336999992247
