method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
NoCompression,synthetic_g1,syn-0,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.32460757327287093,0.0027459973352961242
Random,synthetic_g1,syn-0,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.03830299829132855
TopKImportance,synthetic_g1,syn-0,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.024426997697446495
BM25,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.785767006163951
DenseTopK,synthetic_g1,syn-0,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.46052400284679607
SelectiveContext,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5072610001661815
LLMLingua,synthetic_g1,syn-0,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4323489993112162
FCNP,synthetic_g1,syn-0,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,21.142088997294195
FCNP-Hybrid,synthetic_g1,syn-0,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.10209739512291163,19.121397999697365
NoCompression,synthetic_g1,syn-1,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.303170738255395,0.0024719993234612048
Random,synthetic_g1,syn-1,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.05510099435923621
TopKImportance,synthetic_g1,syn-1,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.015521996829193085
BM25,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5355440007406287
DenseTopK,synthetic_g1,syn-1,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.18606500088935718
SelectiveContext,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4663259969674982
LLMLingua,synthetic_g1,syn-1,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4073309974046424
FCNP,synthetic_g1,syn-1,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,17.81871300045168
FCNP-Hybrid,synthetic_g1,syn-1,80,21,985,273,3.608058608058608,72.28426395939087,0.4,0.09523809523809523,0.15384615384615385,0.43081423320194906,19.714801004738547
NoCompression,synthetic_g1,syn-2,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.28384315856527903,0.002300999767612666
Random,synthetic_g1,syn-2,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.028299997211433947
TopKImportance,synthetic_g1,syn-2,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.013286000466905534
BM25,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5503720021806657
DenseTopK,synthetic_g1,syn-2,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,0.20787399989785627
SelectiveContext,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4960670048603788
LLMLingua,synthetic_g1,syn-2,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.39053999353200197
FCNP,synthetic_g1,syn-2,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,20.435136000742204
FCNP-Hybrid,synthetic_g1,syn-2,80,21,985,273,3.608058608058608,72.28426395939087,0.4,0.09523809523809523,0.15384615384615385,0.5087403079104241,19.109845998173114
NoCompression,synthetic_g1,syn-3,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.40262458546999913,0.00195399479707703
Random,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.06051499804016203
TopKImportance,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.015348006854765117
BM25,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6196750036906451
DenseTopK,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.2061949999188073
SelectiveContext,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4701629950432107
LLMLingua,synthetic_g1,syn-3,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3778300015255809
FCNP,synthetic_g1,syn-3,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,20.396954998432193
FCNP-Hybrid,synthetic_g1,syn-3,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.1208113026994942,18.99880700511858
NoCompression,synthetic_g1,syn-4,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.4125133401022299,0.0034100012271665037
Random,synthetic_g1,syn-4,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.05997400148771703
TopKImportance,synthetic_g1,syn-4,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.13120507751234178,0.031212999601848423
BM25,synthetic_g1,syn-4,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5894249989069067
DenseTopK,synthetic_g1,syn-4,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.21895600366406143
SelectiveContext,synthetic_g1,syn-4,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4674520023399964
LLMLingua,synthetic_g1,syn-4,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4080360013176687
FCNP,synthetic_g1,syn-4,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,19.60526599577861
FCNP-Hybrid,synthetic_g1,syn-4,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.07847428227110642,19.557801002520137
NoCompression,synthetic_g1,syn-5,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35096434932559506,0.002035005309153348
Random,synthetic_g1,syn-5,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02993399539263919
TopKImportance,synthetic_g1,syn-5,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.016224999853875488
BM25,synthetic_g1,syn-5,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5338999981177039
DenseTopK,synthetic_g1,syn-5,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.1854049987741746
SelectiveContext,synthetic_g1,syn-5,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4359009981271811
LLMLingua,synthetic_g1,syn-5,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.37866600177949294
FCNP,synthetic_g1,syn-5,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,19.280913002148736
FCNP-Hybrid,synthetic_g1,syn-5,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.07984133538066794,18.561227996542584
NoCompression,synthetic_g1,syn-6,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35763102258454776,0.0017509955796413124
Random,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.026866000553127378
TopKImportance,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.08082499698502943
BM25,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5285399965941906
DenseTopK,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.18563900084700435
SelectiveContext,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.43965900113107637
LLMLingua,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4000650005764328
FCNP,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,18.548098996689077
FCNP-Hybrid,synthetic_g1,syn-6,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.08681077623592635,19.264633003331255
NoCompression,synthetic_g1,syn-7,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.42826311539858786,0.0019069993868470192
Random,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02755899913609028
TopKImportance,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01564300328027457
BM25,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5584800019278191
DenseTopK,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.20081199909327552
SelectiveContext,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.46296099753817543
LLMLingua,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.426824000896886
FCNP,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,21.753954999439884
FCNP-Hybrid,synthetic_g1,syn-7,80,21,985,231,4.264069264069264,76.5482233502538,0.0,0.0,0.0,0.0,19.325146000483073
NoCompression,synthetic_g1,syn-8,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.440824851571624,0.0018739956431090832
Random,synthetic_g1,syn-8,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.16958010263680806,0.052773000788874924
TopKImportance,synthetic_g1,syn-8,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.0317270023515448
BM25,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5483759960043244
DenseTopK,synthetic_g1,syn-8,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.22385000193025917
SelectiveContext,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4566160059766844
LLMLingua,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3892379972967319
FCNP,synthetic_g1,syn-8,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,20.185998000670224
FCNP-Hybrid,synthetic_g1,syn-8,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.21398626473452756,19.114980001177173
NoCompression,synthetic_g1,syn-9,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.36867710753566957,0.0017420024960301816
Random,synthetic_g1,syn-9,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03760899562621489
TopKImportance,synthetic_g1,syn-9,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01526600681245327
BM25,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5480580002767965
DenseTopK,synthetic_g1,syn-9,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6992148198508501,0.1999340020120144
SelectiveContext,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4488199992920272
LLMLingua,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3945499993278645
FCNP,synthetic_g1,syn-9,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6992148198508501,18.362495997280348
FCNP-Hybrid,synthetic_g1,syn-9,80,21,985,315,3.126984126984127,68.02030456852792,0.8,0.19047619047619047,0.3076923076923077,0.8013122149737618,18.886421996285208
NoCompression,synthetic_g1,syn-10,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35642810958577176,0.0014329998521134257
Random,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.042502004362177104
TopKImportance,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.014986995665822178
BM25,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6157669995445758
DenseTopK,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.4187989979982376
SelectiveContext,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.47250199713744223
LLMLingua,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.38762799522373825
FCNP,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,19.626977998996153
FCNP-Hybrid,synthetic_g1,syn-10,80,21,985,231,4.264069264069264,76.5482233502538,0.0,0.0,0.0,0.0,19.30251799785765
NoCompression,synthetic_g1,syn-11,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3088045870592176,0.0016120029613375664
Random,synthetic_g1,syn-11,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.04977500066161156
TopKImportance,synthetic_g1,syn-11,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.016186997527256608
BM25,synthetic_g1,syn-11,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5323410005075857
DenseTopK,synthetic_g1,syn-11,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.18193700088886544
